"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2025","1,310.00","1,330.00","1,310.00","1,310.00","","-0.38%"
"08/05/2025","1,315.00","1,330.00","1,315.00","1,315.00","","-0.38%"
"08/04/2025","1,320.00","1,345.00","1,320.00","1,320.00","","-0.38%"
"08/01/2025","1,325.00","1,345.00","1,325.00","1,325.00","","0.00%"
"07/31/2025","1,325.00","1,345.00","1,325.00","1,325.00","","1.15%"
"07/30/2025","1,310.00","1,325.00","1,310.00","1,310.00","","0.00%"
"07/29/2025","1,310.00","1,325.00","1,310.00","1,310.00","","0.00%"
"07/28/2025","1,310.00","1,325.00","1,310.00","1,310.00","","0.38%"
"07/25/2025","1,305.00","1,290.00","1,305.00","1,290.00","","-0.38%"
"07/24/2025","1,310.00","1,300.00","1,310.00","1,310.00","","0.77%"
"07/23/2025","1,300.00","1,300.00","1,300.00","1,300.00","","0.00%"
"07/22/2025","1,300.00","1,300.00","1,300.00","1,300.00","","-0.76%"
"07/21/2025","1,310.00","1,300.00","1,310.00","1,310.00","","1.16%"
"07/18/2025","1,295.00","1,300.00","1,295.00","1,295.00","","0.78%"
"07/17/2025","1,285.00","1,300.00","1,285.00","1,285.00","","-0.39%"
"07/16/2025","1,290.00","1,315.00","1,290.00","1,290.00","","-2.27%"
"07/15/2025","1,320.00","1,325.00","1,320.00","1,320.00","","-0.75%"
"07/14/2025","1,330.00","1,325.00","1,330.00","1,330.00","","3.10%"
"07/11/2025","1,290.00","1,305.00","1,290.00","1,290.00","","0.39%"
"07/10/2025","1,285.00","1,290.00","1,285.00","1,285.00","","1.18%"
"07/08/2025","1,270.00","1,240.00","1,270.00","1,270.00","","0.79%"
"07/07/2025","1,260.00","1,240.00","1,260.00","1,260.00","","3.28%"
"07/04/2025","1,220.00","1,230.00","1,230.00","1,220.00","","-0.41%"
"07/03/2025","1,225.00","1,250.00","1,225.00","1,225.00","","-0.41%"
"07/02/2025","1,230.00","1,250.00","1,230.00","1,230.00","","1.23%"
"07/01/2025","1,215.00","1,240.00","1,215.00","1,215.00","","0.83%"
"06/30/2025","1,205.00","1,225.00","1,205.00","1,205.00","","0.42%"
"06/27/2025","1,200.00","1,225.00","1,200.00","1,200.00","","0.00%"
"06/26/2025","1,200.00","1,220.00","1,200.00","1,200.00","","0.00%"
"06/25/2025","1,200.00","1,220.00","1,200.00","1,200.00","","-0.41%"
"06/24/2025","1,205.00","1,210.00","1,210.00","1,205.00","","0.42%"
"06/23/2025","1,200.00","1,225.00","1,200.00","1,200.00","","0.84%"
