fecha,dolar_blue,dolar_oficial,valor,rsi,day_of_week,is_end_of_month,brecha
2022-02-08,215.0,105.82,215.0,56.08672996994341,1,0,1.031752031752032
2022-02-09,217.0,105.89,217.0,59.92044807827259,2,0,1.0492964397015772
2022-02-10,215.5,106.01,215.5,55.97357304901318,3,0,1.0328270917837938
2022-02-11,215.5,106.15,215.5,55.97357304901319,4,0,1.0301460197833254
2022-02-14,215.0,106.36,215.0,54.58365545597661,0,0,1.0214366303121474
2022-02-15,215.0,106.47,215.0,54.58365545597662,1,0,1.019348173194327
2022-02-16,215.0,106.58,215.0,54.58365545597661,2,0,1.0172640270219553
2022-02-17,214.0,106.67,214.0,51.39566815037297,3,0,1.0061873066466673
2022-02-18,211.0,106.78,211.0,43.23706023516238,4,0,0.9760254729350065
2022-02-21,211.5,106.78,211.5,44.80954678526142,0,0,0.980707997752388
2022-02-22,210.0,107.19,210.0,41.12850364579378,1,0,0.9591379792891128
2022-02-23,210.0,107.28,210.0,41.12850364579378,2,0,0.9574944071588367
2022-02-24,210.5,107.38,210.5,42.94057727956155,3,0,0.960327807785435
2022-02-25,211.0,107.45,211.0,44.77129061318254,4,0,0.9637040483946021
2022-03-02,206.0,107.93,206.0,33.27425267033527,2,0,0.9086444918002408
2022-03-03,204.0,108.03,204.0,29.9600878160647,3,0,0.8883643432379894
2022-03-04,201.0,108.13,201.0,25.80775655417476,4,0,0.8588735781004347
2022-03-07,201.0,108.44,201.0,25.80775655417476,0,0,0.8535595721136112
2022-03-08,202.0,108.56,202.0,29.580769523204125,1,0,0.8607221812822402
2022-03-09,204.5,108.68,204.5,38.06118927279718,2,0,0.881670960618329
2022-03-10,203.0,108.77,203.0,35.31329364305246,3,0,0.866323434770617
2022-03-11,202.0,108.88,202.0,33.57308030630068,4,0,0.855253490080823
2022-03-14,200.0,109.2,200.0,30.351566099078454,0,0,0.8315018315018314
2022-03-15,200.0,109.32,200.0,30.351566099078454,1,0,0.8294914013904136
2022-03-16,202.0,109.41,202.0,37.32624103379442,2,0,0.8462663376291016
2022-03-17,202.0,109.51,202.0,37.32624103379442,3,0,0.844580403616108
2022-03-18,202.5,109.7,202.5,39.09462913285691,4,0,0.8459434822242479
2022-03-21,202.0,109.97,202.0,37.94172396996519,0,0,0.8368645994362099
2022-03-22,201.0,110.07,201.0,35.67570407595687,1,0,0.826110656854729
2022-03-23,201.0,110.18,201.0,35.67570407595687,2,0,0.8242875294971863
2022-03-25,202.0,110.38,202.0,39.84253206898302,4,0,0.8300416742163436
2022-03-28,200.0,110.68,200.0,34.964225163830534,0,1,0.8070112034694614
2022-03-29,200.0,110.82,200.0,34.96422516383052,1,1,0.8047283883775493
2022-03-30,201.0,110.89,201.0,39.275683509346706,2,1,0.8126070881053296
2022-03-31,200.0,111.01,200.0,36.65851645550628,3,1,0.8016394919376632
2022-04-01,200.0,111.12,200.0,36.65851645550628,4,0,0.7998560115190784
2022-04-04,199.0,111.57,199.0,34.02871698068206,0,0,0.783633593259837
2022-04-05,196.0,111.7,196.0,27.62591155740381,1,0,0.7547000895255147
2022-04-06,196.0,111.83,196.0,27.62591155740381,2,0,0.7526602879370473
2022-04-07,196.0,111.97,196.0,27.62591155740381,3,0,0.7504688755916764
2022-04-08,196.5,112.16,196.5,30.353790020275227,4,0,0.7519614835948645
2022-04-11,195.0,112.58,195.0,27.05878459717607,0,0,0.7321016166281755
2022-04-12,195.0,112.76,195.0,27.058784597176086,1,0,0.7293366442000708
2022-04-13,195.0,112.97,195.0,27.058784597176086,2,0,0.7261219792865362
2022-04-18,195.0,113.63,195.0,27.05878459717607,0,0,0.7160961013816775
2022-04-19,198.0,113.78,198.0,43.544805477173036,1,0,0.740200386711197
2022-04-20,199.5,113.96,199.5,49.67005761948753,2,0,0.7506142506142507
